Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
2,3,L,BEHAVIOR,YES,NO,00:01,02:25
2,3,L,BEHAVIOR,YES,NO,02:28,02:46
2,3,U,MUSIC,YES,YES,02:49,03:01
2,3,P,BEHAVIOR,YES,NO,03:23,03:29
2,3,U,MUSIC,YES,YES,03:33,03:45
2,3,L,BEHAVIOR,YES,YES,03:34,03:49
2,3,FP,BEHAVIOR,YES,NO,03:51,03:52
2,3,L,BEHAVIOR,YES,NO,03:54,04:39
2,3,N,EVENT,YES,NO,04:39,04:40
2,3,U,MUSIC,YES,YES,04:40,04:58
2,3,L,BEHAVIOR,YES,YES,04:41,04:45
2,3,L,BEHAVIOR,YES,NO,05:04,06:28
2,3,P,BEHAVIOR,YES,NO,06:28,06:36
2,3,V,EVENT,YES,NO,06:36,06:37
2,3,U,MUSIC,YES,YES,06:37,06:51
2,3,L,BEHAVIOR,YES,YES,06:38,08:50
2,3,B,EVENT,YES,NO,09:48,09:49
2,3,U,MUSIC,YES,YES,09:50,10:03
2,3,N,EVENT,YES,NO,10:52,10:53
2,3,U,MUSIC,YES,YES,10:55,11:18
2,3,M,EVENT,YES,YES,10:60,11:03
2,3,FP,BEHAVIOR,YES,YES,11:06,11:08
2,3,L,BEHAVIOR,YES,YES,11:09,12:01
2,3,P,BEHAVIOR,YES,NO,12:02,12:05
2,3,L,BEHAVIOR,YES,NO,12:06,12:43
2,3,L,BEHAVIOR,YES,NO,12:45,12:59
2,3,M,EVENT,YES,NO,12:59,13:00
2,3,L,BEHAVIOR,YES,NO,13:01,13:31
2,3,M,EVENT,YES,NO,13:31,13:37
2,3,NB,BEHAVIOR,YES,NO,13:40,13:43
2,3,M,EVENT,YES,NO,13:44,13:48
2,3,B,EVENT,YES,NO,13:49,13:49
2,3,U,MUSIC,YES,YES,13:51,14:23
2,3,H,EVENT,YES,YES,13:51,13:52
2,3,H,EVENT,YES,YES,13:53,13:58
2,3,B,EVENT,YES,YES,14:07,14:08
2,3,N,EVENT,YES,YES,14:11,14:12
2,3,V,EVENT,YES,NO,15:43,15:44
2,3,M,EVENT,YES,NO,16:44,16:50
2,3,L,BEHAVIOR,YES,NO,16:52,16:54
2,3,L,BEHAVIOR,YES,NO,16:54,17:14
2,3,FP,BEHAVIOR,YES,NO,16:55,16:57
2,3,V,EVENT,YES,NO,17:15,17:16
2,3,L,BEHAVIOR,YES,NO,17:16,19:39
2,3,U,MUSIC,YES,YES,18:60,19:20
2,3,V,EVENT,YES,YES,19:05,19:05
2,3,V,EVENT,YES,YES,19:18,19:19
2,3,V,EVENT,YES,NO,19:28,19:29
2,3,M,EVENT,YES,NO,19:39,19:44
2,3,L,BEHAVIOR,YES,NO,19:46,19:57
2,3,V,EVENT,YES,NO,20:03,20:04
2,3,V,EVENT,YES,NO,20:20,20:20
2,3,V,EVENT,YES,NO,20:38,20:38
2,3,V,EVENT,YES,NO,20:50,20:51
2,3,M,EVENT,YES,NO,21:06,21:11
2,3,M,EVENT,YES,NO,21:12,21:15
2,3,L,BEHAVIOR,YES,NO,21:17,21:26
2,3,FP,BEHAVIOR,YES,NO,21:27,21:28
2,3,P,BEHAVIOR,YES,NO,21:30,21:35
2,3,L,BEHAVIOR,YES,NO,21:36,21:50
2,3,L,BEHAVIOR,YES,NO,21:52,22:50
2,3,L,BEHAVIOR,YES,NO,22:52,24:01
2,3,P,BEHAVIOR,YES,NO,24:01,24:04
2,3,L,BEHAVIOR,YES,NO,24:05,24:07
2,3,P,BEHAVIOR,YES,NO,24:07,24:11
2,3,L,BEHAVIOR,YES,NO,24:11,24:14
2,3,V,EVENT,YES,NO,24:17,24:17
2,3,L,BEHAVIOR,YES,NO,24:17,25:01
2,3,L,BEHAVIOR,YES,NO,25:24,26:26
2,3,L,BEHAVIOR,YES,NO,26:27,26:56
2,3,M,EVENT,YES,NO,26:57,27:02
2,3,L,BEHAVIOR,YES,NO,27:04,27:10
2,3,M,EVENT,YES,NO,27:10,27:14
2,3,L,BEHAVIOR,YES,NO,27:14,27:33
2,3,M,EVENT,YES,NO,27:33,27:35
2,3,L,BEHAVIOR,YES,NO,27:36,27:49
2,3,H,EVENT,YES,NO,27:49,27:51
2,3,M,EVENT,YES,NO,27:51,27:54
2,3,U,MUSIC,YES,YES,27:52,28:08
2,3,H,EVENT,YES,YES,27:55,27:59
2,3,M,EVENT,YES,NO,28:10,28:21
2,3,M,EVENT,YES,NO,28:32,28:35
2,3,L,BEHAVIOR,YES,NO,28:36,28:44
2,3,H,EVENT,YES,NO,28:44,28:45
2,3,U,MUSIC,YES,YES,28:47,29:02
2,3,V,EVENT,YES,YES,28:50,28:51
2,3,M,EVENT,YES,NO,29:06,29:11
2,3,V,EVENT,YES,NO,29:13,29:14
2,3,U,MUSIC,YES,YES,29:15,29:28
2,3,H,EVENT,YES,YES,29:16,29:17
2,3,L,BEHAVIOR,YES,YES,29:17,29:35
2,3,L,BEHAVIOR,YES,NO,29:36,29:51
2,3,M,EVENT,YES,NO,29:52,29:55
2,3,L,BEHAVIOR,YES,NO,29:55,30:53
2,3,V,EVENT,YES,NO,30:04,30:04
2,3,V,EVENT,YES,NO,30:19,30:20
2,3,V,EVENT,YES,NO,30:35,30:36
2,3,V,EVENT,YES,NO,30:53,30:54
2,3,U,MUSIC,YES,YES,30:55,31:24
2,3,P,BEHAVIOR,YES,YES,30:56,31:02
2,3,H,EVENT,YES,YES,31:03,31:04
2,3,L,BEHAVIOR,YES,YES,31:09,33:03
2,3,V,EVENT,YES,NO,31:42,31:43
2,3,V,EVENT,YES,NO,32:43,32:43
2,3,V,EVENT,YES,NO,33:04,33:04
2,3,U,MUSIC,YES,YES,33:05,33:14
2,3,L,BEHAVIOR,YES,NO,33:05,34:42
2,3,V,EVENT,YES,NO,33:16,33:16
2,3,V,EVENT,YES,NO,33:31,33:32
2,3,V,EVENT,YES,NO,33:46,33:46
2,3,V,EVENT,YES,NO,33:59,33:60
2,3,V,EVENT,YES,NO,34:32,34:33
2,3,M,EVENT,YES,NO,34:43,34:44
2,3,L,BEHAVIOR,YES,NO,34:44,34:56
2,3,V,EVENT,YES,NO,35:05,35:06
2,3,L,BEHAVIOR,YES,NO,35:06,35:15
2,3,U,MUSIC,YES,YES,35:16,35:35
2,3,V,EVENT,YES,NO,35:16,35:16
2,3,L,BEHAVIOR,YES,YES,35:18,36:15
2,3,V,EVENT,YES,NO,36:13,36:13
2,3,L,BEHAVIOR,YES,NO,36:16,36:35
2,3,M,EVENT,YES,NO,36:35,36:37
2,3,B,EVENT,YES,NO,36:38,36:38
2,3,U,MUSIC,YES,YES,36:39,37:24
2,3,V,EVENT,YES,YES,36:43,36:43
2,3,L,BEHAVIOR,YES,YES,36:46,36:48
2,3,B,EVENT,YES,YES,36:48,36:49
2,3,B,EVENT,YES,YES,36:54,37:03
2,3,B,EVENT,YES,YES,37:06,37:09
2,3,V,EVENT,YES,YES,37:15,37:15
2,3,M,EVENT,YES,YES,37:17,37:18
2,3,L,BEHAVIOR,YES,YES,37:18,37:46
2,3,V,EVENT,YES,NO,37:35,37:36
2,3,M,EVENT,YES,NO,37:46,37:53
2,3,L,BEHAVIOR,YES,NO,37:53,40:08
2,3,V,EVENT,YES,NO,38:03,38:04
2,3,V,EVENT,YES,NO,38:26,38:27
2,3,V,EVENT,YES,NO,39:25,39:26
2,3,P,BEHAVIOR,YES,NO,40:08,40:16
2,3,L,BEHAVIOR,YES,NO,40:19,40:27
2,3,U,MUSIC,YES,YES,40:23,40:43
2,3,M,EVENT,YES,YES,40:27,40:29
2,3,V,EVENT,YES,YES,40:30,40:31
2,3,L,BEHAVIOR,YES,YES,40:34,40:55
2,3,P,BEHAVIOR,YES,NO,40:53,41:01
2,3,M,EVENT,YES,NO,41:04,41:06
2,3,L,BEHAVIOR,YES,NO,41:07,41:56
2,3,P,BEHAVIOR,YES,NO,41:08,41:44
2,3,P,BEHAVIOR,YES,NO,41:45,41:56
2,3,M,EVENT,YES,NO,41:56,41:58
2,3,P,BEHAVIOR,YES,NO,42:02,42:53
2,3,P,BEHAVIOR,YES,NO,43:03,43:20
2,3,FP,BEHAVIOR,YES,NO,43:21,43:23
2,3,M,EVENT,YES,NO,43:56,43:59
2,3,L,BEHAVIOR,YES,NO,43:60,44:11
2,3,M,EVENT,YES,NO,44:12,44:15
2,3,L,BEHAVIOR,YES,NO,45:04,45:14
2,3,L,BEHAVIOR,YES,NO,45:15,45:17
2,3,L,BEHAVIOR,YES,NO,45:20,45:39
2,3,M,EVENT,YES,NO,45:40,45:47
2,3,L,BEHAVIOR,YES,NO,45:49,45:58
2,3,M,EVENT,YES,NO,45:59,46:03
2,3,L,BEHAVIOR,YES,NO,46:03,46:06
2,3,L,BEHAVIOR,YES,NO,49:04,49:22
2,3,M,EVENT,YES,NO,49:22,49:28
2,3,M,EVENT,YES,NO,49:30,49:32
2,3,L,BEHAVIOR,YES,NO,49:32,49:41
2,3,M,EVENT,YES,NO,49:41,49:46
2,3,L,BEHAVIOR,YES,NO,49:47,50:18
2,3,M,EVENT,YES,NO,50:18,50:21
2,3,NB,BEHAVIOR,YES,NO,50:22,50:26
2,3,B,EVENT,YES,NO,50:26,50:27
2,3,U,MUSIC,YES,YES,50:28,51:45
2,3,B,EVENT,YES,YES,50:35,50:39
2,3,M,EVENT,YES,YES,50:40,50:45
2,3,B,EVENT,YES,YES,50:48,50:50
2,3,N,EVENT,YES,YES,50:53,50:54
2,3,B,EVENT,YES,YES,50:56,51:02
2,3,N,EVENT,YES,YES,51:07,51:08
2,3,H,EVENT,YES,YES,51:12,51:14
2,3,B,EVENT,YES,YES,51:16,51:18
2,3,H,EVENT,YES,YES,51:19,51:20
2,3,B,EVENT,YES,YES,51:22,51:25
2,3,H,EVENT,YES,YES,51:27,51:30
2,3,L,BEHAVIOR,YES,YES,51:32,51:38
2,3,M,EVENT,YES,NO,51:56,51:58
2,3,L,BEHAVIOR,YES,NO,51:58,52:05
2,3,V,EVENT,YES,NO,52:00,52:01
2,3,M,EVENT,YES,NO,52:06,52:09
2,3,B,EVENT,YES,NO,52:10,52:11
2,3,V,EVENT,YES,NO,52:11,52:11
2,3,U,MUSIC,YES,YES,52:12,53:09
2,3,B,EVENT,YES,YES,52:14,52:20
2,3,B,EVENT,YES,YES,52:21,52:23
2,3,V,EVENT,YES,YES,52:28,52:29
2,3,N,EVENT,YES,YES,52:32,52:33
2,3,M,EVENT,YES,YES,52:34,52:36
2,3,V,EVENT,YES,YES,52:35,52:36
2,3,B,EVENT,YES,YES,52:36,52:37
2,3,L,BEHAVIOR,YES,YES,52:47,52:49
2,3,N,EVENT,YES,YES,52:49,52:50
2,3,V,EVENT,YES,YES,52:54,52:55
2,3,L,BEHAVIOR,YES,YES,52:55,53:12
2,3,V,EVENT,YES,YES,52:60,53:01
2,3,V,EVENT,YES,NO,53:11,53:11
2,3,M,EVENT,YES,NO,53:13,53:19
2,3,L,BEHAVIOR,YES,NO,53:19,54:39
2,3,V,EVENT,YES,NO,53:24,53:24
2,3,V,EVENT,YES,NO,53:58,53:59
2,3,V,EVENT,YES,NO,54:35,54:36
2,3,V,EVENT,YES,NO,54:49,54:50
2,3,L,BEHAVIOR,YES,NO,54:59,57:12
2,3,V,EVENT,YES,NO,55:06,55:07
2,3,V,EVENT,YES,NO,55:20,55:21
2,3,M,EVENT,YES,NO,57:12,57:19
2,3,L,BEHAVIOR,YES,NO,57:20,57:52
2,3,L,BEHAVIOR,YES,NO,57:53,59:50
2,3,P,BEHAVIOR,YES,NO,61:08,61:18
2,3,L,BEHAVIOR,YES,NO,61:29,62:27
2,3,V,EVENT,YES,NO,62:43,62:44
2,3,V,EVENT,YES,NO,63:14,63:15
2,3,M,EVENT,YES,NO,63:18,63:20
2,3,P,BEHAVIOR,YES,NO,63:20,63:59
2,3,P,BEHAVIOR,YES,NO,64:01,64:36
2,3,L,BEHAVIOR,YES,NO,64:36,64:43
2,3,V,EVENT,YES,NO,64:43,64:44
2,3,U,MUSIC,YES,YES,64:46,65:08
2,3,L,BEHAVIOR,YES,YES,64:47,65:08
2,3,M,EVENT,YES,YES,65:08,65:11
2,3,L,BEHAVIOR,YES,NO,65:15,65:40
2,3,L,BEHAVIOR,YES,NO,65:43,67:35
2,3,V,EVENT,YES,NO,67:27,67:28
2,3,M,EVENT,YES,NO,67:35,67:40
2,3,P,BEHAVIOR,YES,NO,67:41,68:07
2,3,L,BEHAVIOR,YES,NO,67:43,68:20
2,3,P,BEHAVIOR,YES,NO,68:08,68:22
2,3,L,BEHAVIOR,YES,NO,68:25,68:51
2,3,L,BEHAVIOR,YES,NO,68:52,69:11
2,3,V,EVENT,YES,NO,69:03,69:04
2,3,L,BEHAVIOR,YES,NO,69:12,69:13
2,3,U,MUSIC,YES,YES,69:14,69:50
2,3,V,EVENT,YES,YES,69:14,69:15
2,3,M,EVENT,YES,YES,69:14,69:16
2,3,L,BEHAVIOR,YES,YES,69:23,69:30
2,3,V,EVENT,YES,YES,69:32,69:32
2,3,V,EVENT,YES,YES,69:37,69:37
2,3,V,EVENT,YES,NO,69:60,70:01
2,3,V,EVENT,YES,NO,70:20,70:21
2,3,M,EVENT,YES,NO,70:24,70:30
2,3,M,EVENT,YES,NO,70:37,70:39
