Day,Session,Date/Time Start,Duration of Video,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End,Unnamed: 12,Start,End
1,2,,,B,Event,YES,NO,0:36,0:37,,,,0:00:36,0:00:37
1,2,,,B,Event,YES,NO,0:38,0:40,,,,0:00:38,0:00:40
1,2,,,M,Event,YES,NO,0:41,0:43,,,,0:00:41,0:00:43
1,2,,,M,Event,YES,NO,0:44,0:47,,,,0:00:44,0:00:47
1,2,,,B,Event,YES,NO,0:47,0:49,,,,0:00:47,0:00:49
1,2,,,M,Event,YES,NO,0:54,1:00,,,,0:00:54,0:01:00
1,2,,,B,Event,YES,NO,1:00,1:01,,,,0:01:00,0:01:01
1,2,,,L,Behavior,YES,NO,1:09,1:32,,,,0:01:09,0:01:32
1,2,,,U,Music,YES,YES,11:08,12:00,,,,0:11:08,0:12:00
1,2,,,M,Event,YES,YES,11:37,11:40,,,,0:11:37,0:11:40
1,2,,,B,Event,YES,YES,12:02,12:03,,,,0:12:02,0:12:03
1,2,,,U,Music,YES,YES,12:03,12:45,,,,0:12:03,0:12:45
1,2,,,B,Event,YES,YES,12:12,12:16,,,,0:12:12,0:12:16
1,2,,,B,Event,YES,YES,12:18,12:22,,,,0:12:18,0:12:22
1,2,,,B,Event,YES,YES,12:30,12:32,,,,0:12:30,0:12:32
1,2,,,H,Event,YES,YES,12:31,12:33,,,,0:12:31,0:12:33
1,2,,,B,Event,YES,NO,12:45,12:46,,,,0:12:45,0:12:46
1,2,,,U,Music,YES,YES,12:48,12:59,,,,0:12:48,0:12:59
1,2,,,V,Event,YES,YES,12:50,12:51,,,,0:12:50,0:12:51
1,2,,,H,Event,YES,YES,12:57,12:58,,,,0:12:57,0:12:58
1,2,,,H,Event,YES,YES,12:59,13:00,,,,0:12:59,0:13:00
1,2,,,U,Music,YES,YES,13:01,13:02,,,,0:13:01,0:13:02
1,2,,,B,Event,YES,NO,13:09,13:29,,,,0:13:09,0:13:29
1,2,,,B,Event,YES,NO,13:36,13:44,,,,0:13:36,0:13:44
1,2,,,M,Event,YES,NO,13:46,13:48,,,,0:13:46,0:13:48
1,2,,,B,Event,YES,NO,13:49,13:52,,,,0:13:49,0:13:52
1,2,,,L,Behavior,YES,NO,13:52,13:53,,,,0:13:52,0:13:53
1,2,,,L,Behavior,YES,NO,13:54,13:55,,,,0:13:54,0:13:55
1,2,,,B,Event,YES,NO,13:56,14:00,,,,0:13:56,0:14:00
1,2,,,B,Event,YES,NO,14:01,14:06,,,,0:14:01,0:14:06
1,2,,,B,Event,YES,NO,14:10,14:12,,,,0:14:10,0:14:12
1,2,,,B,Event,YES,NO,14:14,14:15,,,,0:14:14,0:14:15
1,2,,,B,Event,YES,NO,14:21,14:25,,,,0:14:21,0:14:25
1,2,,,B,Event,YES,NO,14:34,14:34,,,,0:14:34,0:14:34
1,2,,,M,Event,YES,NO,14:35,14:38,,,,0:14:35,0:14:38
1,2,,,B,Event,YES,NO,14:39,14:41,,,,0:14:39,0:14:41
1,2,,,B,Event,YES,NO,14:43,14:47,,,,0:14:43,0:14:47
1,2,,,B,Event,YES,NO,14:48,14:51,,,,0:14:48,0:14:51
1,2,,,B,Event,YES,NO,14:52,15:02,,,,0:14:52,0:15:02
1,2,,,M,Event,YES,NO,15:06,15:09,,,,0:15:06,0:15:09
1,2,,,U,Music,YES,YES,15:44,16:00,,,,0:15:44,0:16:00
1,2,,,P,Behavior,YES,YES,15:49,15:50,,,,0:15:49,0:15:50
1,2,,,L,Behavior,YES,YES,15:51,16:30,,,,0:15:51,0:16:30
1,2,,,S,Behavior,YES,NO,16:36,16:43,,,,0:16:36,0:16:43
1,2,,,M,Event,YES,NO,17:04,17:05,,,,0:17:04,0:17:05
1,2,,,M,Event,YES,NO,17:06,17:09,,,,0:17:06,0:17:09
1,2,,,B,Event,YES,NO,17:08,17:09,,,,0:17:08,0:17:09
1,2,,,V,Event,YES,NO,17:10,17:10,,,,0:17:10,0:17:10
1,2,,,U,Music,YES,YES,17:11,19:23,,,,0:17:11,0:19:23
1,2,,,B,Event,YES,YES,17:43,17:47,,,,0:17:43,0:17:47
1,2,,,H,Event,YES,YES,17:53,17:56,,,,0:17:53,0:17:56
1,2,,,H,Event,YES,YES,17:57,17:59,,,,0:17:57,0:17:59
1,2,,,H,Event,YES,YES,18:00,18:02,,,,0:18:00,0:18:02
1,2,,,H,Event,YES,YES,18:03,18:06,,,,0:18:03,0:18:06
1,2,,,H,Event,YES,YES,18:09,18:10,,,,0:18:09,0:18:10
1,2,,,H,Event,YES,YES,18:13,18:14,,,,0:18:13,0:18:14
1,2,,,H,Event,YES,YES,18:17,18:19,,,,0:18:17,0:18:19
1,2,,,B,Event,YES,YES,18:22,18:24,,,,0:18:22,0:18:24
1,2,,,B,Event,YES,YES,18:33,18:34,,,,0:18:33,0:18:34
1,2,,,B,Event,YES,YES,18:36,18:38,,,,0:18:36,0:18:38
1,2,,,H,Event,YES,YES,18:39,18:39,,,,0:18:39,0:18:39
1,2,,,V,Event,YES,YES,18:39,18:40,,,,0:18:39,0:18:40
1,2,,,L,Behavior,YES,YES,18:45,18:56,,,,0:18:45,0:18:56
1,2,,,H,Event,YES,YES,18:55,18:57,,,,0:18:55,0:18:57
1,2,,,H,Event,YES,YES,18:58,19:01,,,,0:18:58,0:19:01
1,2,,,H,Event,YES,YES,19:05,19:07,,,,0:19:05,0:19:07
1,2,,,H,Event,YES,YES,19:10,19:10,,,,0:19:10,0:19:10
1,2,,,L,Behavior,YES,NO,19:24,19:26,,,,0:19:24,0:19:26
1,2,,,N,Event,YES,NO,19:26,19:27,,,,0:19:26,0:19:27
1,2,,,L,Behavior,YES,NO,19:39,20:01,,,,0:19:39,0:20:01
1,2,,,V,Event,YES,NO,20:01,20:01,,,,0:20:01,0:20:01
1,2,,,P,Behavior,YES,NO,20:22,20:23,,,,0:20:22,0:20:23
1,2,,,S,Behavior,YES,NO,20:28,20:30,,,,0:20:28,0:20:30
1,2,,,P,Behavior,YES,NO,20:35,20:40,,,,0:20:35,0:20:40
1,2,,,P,Behavior,YES,NO,20:47,20:47,,,,0:20:47,0:20:47
1,3,,,U,Music,YES,YES,0:33,1:08,,,,0:00:33,0:01:08
1,3,,,B,Event,YES,YES,0:40,0:44,,,,0:00:40,0:00:44
1,3,,,L,Behavior,YES,YES,0:46,0:51,,,,0:00:46,0:00:51
1,3,,,B,Event,YES,YES,0:51,0:54,,,,0:00:51,0:00:54
1,3,,,L,Behavior,YES,YES,0:56,1:21,,,,0:00:56,0:01:21
1,3,,,V,Event,YES,NO,1:21,1:21,,,,0:01:21,0:01:21
1,3,,,U,Music,YES,YES,1:25,1:43,,,,0:01:25,0:01:43
1,3,,,M,Event,YES,NO,2:35,2:38,,,,0:02:35,0:02:38
1,3,,,L,Behavior,YES,NO,2:39,2:40,,,,0:02:39,0:02:40
1,3,,,S,Behavior,YES,NO,2:41,2:47,,,,0:02:41,0:02:47
1,3,,,P,Behavior,YES,NO,5:10,5:13,,,,0:05:10,0:05:13
1,3,,,L,Behavior,YES,NO,5:20,5:25,,,,0:05:20,0:05:25
1,3,,,S,Behavior,YES,NO,5:24,5:31,,,,0:05:24,0:05:31
1,3,,,FP,Behavior,YES,NO,6:19,6:26,,,,0:06:19,0:06:26
1,3,,,M,Event,YES,NO,6:28,6:31,,,,0:06:28,0:06:31
1,3,,,L,Behavior,YES,NO,6:33,6:58,,,,0:06:33,0:06:58
1,3,,,M,Event,YES,NO,6:59,7:02,,,,0:06:59,0:07:02
1,3,,,M,Event,YES,NO,7:22,7:23,,,,0:07:22,0:07:23
1,3,,,FP,Behavior,YES,NO,7:26,7:26,,,,0:07:26,0:07:26
1,3,,,U,Music,YES,YES,7:26,7:41,,,,0:07:26,0:07:41
1,3,,,FP,Behavior,YES,YES,7:29,7:29,,,,0:07:29,0:07:29
1,3,,,U,Music,YES,YES,7:55,8:14,,,,0:07:55,0:08:14
1,3,,,U,Music,YES,YES,8:24,8:41,,,,0:08:24,0:08:41
1,3,,,U,Music,YES,YES,9:11,9:20,,,,0:09:11,0:09:20
1,3,,,V,Event,YES,YES,9:15,9:16,,,,0:09:15,0:09:16
1,3,,,V,Event,YES,YES,9:18,9:18,,,,0:09:18,0:09:18
1,3,,,U,Music,YES,YES,9:34,9:49,,,,0:09:34,0:09:49
2,2,,,L,BEHAVIOR,YES,NO,0:06,0:24,,,,0:00:06,0:00:24
2,2,,,P,BEHAVIOR,YES,NO,0:26,0:27,,,,0:00:26,0:00:27
2,2,,,L,BEHAVIOR,YES,NO,0:31,0:34,,,,0:00:31,0:00:34
2,2,,,V,EVENT,YES,NO,0:48,0:49,,,,0:00:48,0:00:49
2,2,,,P,BEHAVIOR,YES,NO,1:05,1:07,,,,0:01:05,0:01:07
2,2,,,V,EVENT,YES,NO,2:09,2:10,,,,0:02:09,0:02:10
2,2,,,V,EVENT,YES,NO,3:08,3:09,,,,0:03:08,0:03:09
2,2,,,P,BEHAVIOR,YES,NO,5:16,5:30,,,,0:05:16,0:05:30
2,2,,,P,BEHAVIOR,YES,NO,5:31,5:42,,,,0:05:31,0:05:42
2,2,,,M,EVENT,YES,NO,5:44,5:54,,,,0:05:44,0:05:54
2,2,,,NB,BEHAVIOR,YES,NO,5:54,5:58,,,,0:05:54,0:05:58
2,2,,,NB,BEHAVIOR,YES,NO,6:01,6:07,,,,0:06:01,0:06:07
2,2,,,L,BEHAVIOR,YES,NO,6:08,6:10,,,,0:06:08,0:06:10
2,2,,,NB,BEHAVIOR,YES,NO,6:11,6:12,,,,0:06:11,0:06:12
2,2,,,NB,BEHAVIOR,YES,NO,6:13,6:16,,,,0:06:13,0:06:16
2,2,,,NB,BEHAVIOR,YES,NO,6:18,6:23,,,,0:06:18,0:06:23
2,2,,,L,BEHAVIOR,YES,NO,6:25,6:28,,,,0:06:25,0:06:28
2,2,,,NB,BEHAVIOR,YES,NO,6:28,6:34,,,,0:06:28,0:06:34
2,2,,,NB,BEHAVIOR,YES,NO,6:36,6:45,,,,0:06:36,0:06:45
2,2,,,NB,BEHAVIOR,YES,NO,6:47,6:55,,,,0:06:47,0:06:55
2,2,,,P,BEHAVIOR,YES,NO,6:58,7:13,,,,0:06:58,0:07:13
2,2,,,P,BEHAVIOR,YES,NO,7:13,7:21,,,,0:07:13,0:07:21
2,2,,,NB,BEHAVIOR,YES,NO,7:24,7:27,,,,0:07:24,0:07:27
2,2,,,P,BEHAVIOR,YES,NO,7:28,7:41,,,,0:07:28,0:07:41
2,2,,,NB,BEHAVIOR,YES,NO,7:42,7:46,,,,0:07:42,0:07:46
2,2,,,P,BEHAVIOR,YES,NO,7:47,7:55,,,,0:07:47,0:07:55
2,2,,,NB,BEHAVIOR,YES,NO,7:55,8:01,,,,0:07:55,0:08:01
2,2,,,E,BEHAVIOR,YES,NO,8:02,8:22,,,,0:08:02,0:08:22
2,2,,,NB,BEHAVIOR,YES,NO,8:29,8:52,,,,0:08:29,0:08:52
2,2,,,NB,BEHAVIOR,YES,NO,8:52,9:10,,,,0:08:52,0:09:10
2,2,,,M,EVENT,YES,NO,9:12,9:21,,,,0:09:12,0:09:21
2,2,,,NB,BEHAVIOR,YES,NO,9:24,9:25,,,,0:09:24,0:09:25
2,2,,,L,BEHAVIOR,YES,NO,9:27,9:35,,,,0:09:27,0:09:35
2,2,,,L,BEHAVIOR,YES,NO,9:40,9:43,,,,0:09:40,0:09:43
2,2,,,B,EVENT,YES,NO,9:44,9:45,,,,0:09:44,0:09:45
2,2,,,B,EVENT,YES,YES,9:46,9:49,,,,0:09:46,0:09:49
2,2,,,U,MUSIC,YES,YES,9:46,10:31,,,,0:09:46,0:10:31
2,2,,,B,EVENT,YES,YES,9:57,10:00,,,,0:09:57,0:10:00
2,2,,,H,EVENT,YES,YES,10:01,10:03,,,,0:10:01,0:10:03
2,2,,,H,EVENT,YES,YES,10:06,10:07,,,,0:10:06,0:10:07
2,2,,,H,EVENT,YES,YES,10:08,10:10,,,,0:10:08,0:10:10
2,2,,,H,EVENT,YES,YES,10:12,10:13,,,,0:10:12,0:10:13
2,2,,,M,EVENT,YES,YES,10:19,10:20,,,,0:10:19,0:10:20
2,2,,,L,BEHAVIOR,YES,YES,10:21,10:34,,,,0:10:21,0:10:34
2,2,,,L,BEHAVIOR,YES,NO,10:35,11:03,,,,0:10:35,0:11:03
2,2,,,V,EVENT,YES,NO,11:02,11:03,,,,0:11:02,0:11:03
2,2,,,L,BEHAVIOR,YES,NO,11:05,11:06,,,,0:11:05,0:11:06
2,2,,,M,EVENT,YES,NO,11:07,11:11,,,,0:11:07,0:11:11
2,2,,,L,BEHAVIOR,YES,NO,11:12,12:31,,,,0:11:12,0:12:31
2,2,,,V,EVENT,YES,NO,12:31,12:32,,,,0:12:31,0:12:32
2,2,,,FP,BEHAVIOR,YES,NO,12:36,12:37,,,,0:12:36,0:12:37
2,2,,,M,EVENT,YES,NO,13:55,14:10,,,,0:13:55,0:14:10
2,2,,,M,EVENT,YES,NO,14:12,14:16,,,,0:14:12,0:14:16
2,2,,,L,BEHAVIOR,YES,NO,14:16,14:27,,,,0:14:16,0:14:27
2,2,,,M,EVENT,YES,NO,14:28,14:32,,,,0:14:28,0:14:32
2,2,,,E,BEHAVIOR,YES,NO,14:32,14:52,,,,0:14:32,0:14:52
2,2,,,M,EVENT,YES,NO,14:52,14:54,,,,0:14:52,0:14:54
2,2,,,L,BEHAVIOR,YES,NO,14:54,15:53,,,,0:14:54,0:15:53
2,2,,,E,BEHAVIOR,YES,NO,15:54,16:22,,,,0:15:54,0:16:22
2,2,,,M,EVENT,YES,NO,16:26,16:30,,,,0:16:26,0:16:30
2,2,,,L,BEHAVIOR,YES,NO,16:30,16:31,,,,0:16:30,0:16:31
2,2,,,L,BEHAVIOR,YES,NO,16:49,17:15,,,,0:16:49,0:17:15
2,2,,,H,EVENT,YES,NO,17:15,17:16,,,,0:17:15,0:17:16
2,2,,,U,MUSIC,YES,YES,17:17,19:52,,,,0:17:17,0:19:52
2,2,,,L,BEHAVIOR,YES,YES,17:18,17:25,,,,0:17:18,0:17:25
2,2,,,B,EVENT,YES,YES,17:25,17:27,,,,0:17:25,0:17:27
2,2,,,L,BEHAVIOR,YES,YES,17:28,17:45,,,,0:17:28,0:17:45
2,2,,,B,EVENT,YES,YES,17:45,17:48,,,,0:17:45,0:17:48
2,2,,,B,EVENT,YES,YES,17:50,17:51,,,,0:17:50,0:17:51
2,2,,,V,EVENT,YES,YES,17:54,17:55,,,,0:17:54,0:17:55
2,2,,,B,EVENT,YES,YES,17:56,17:58,,,,0:17:56,0:17:58
2,2,,,H,EVENT,YES,YES,18:01,18:02,,,,0:18:01,0:18:02
2,2,,,L,BEHAVIOR,YES,YES,18:07,18:10,,,,0:18:07,0:18:10
2,2,,,B,EVENT,YES,YES,18:10,18:13,,,,0:18:10,0:18:13
2,2,,,H,EVENT,YES,YES,18:14,18:18,,,,0:18:14,0:18:18
2,2,,,L,BEHAVIOR,YES,YES,18:18,18:20,,,,0:18:18,0:18:20
2,2,,,H,EVENT,YES,YES,18:21,18:24,,,,0:18:21,0:18:24
2,2,,,B,EVENT,YES,YES,18:28,18:30,,,,0:18:28,0:18:30
2,2,,,B,EVENT,YES,YES,18:34,18:36,,,,0:18:34,0:18:36
2,2,,,H,EVENT,YES,YES,18:39,18:40,,,,0:18:39,0:18:40
2,2,,,H,EVENT,YES,YES,18:44,18:48,,,,0:18:44,0:18:48
2,2,,,B,EVENT,YES,YES,18:49,18:51,,,,0:18:49,0:18:51
2,2,,,H,EVENT,YES,YES,18:53,18:53,,,,0:18:53,0:18:53
2,2,,,B,EVENT,YES,YES,18:56,18:58,,,,0:18:56,0:18:58
2,2,,,H,EVENT,YES,YES,19:00,19:01,,,,0:19:00,0:19:01
2,2,,,B,EVENT,YES,YES,19:05,19:11,,,,0:19:05,0:19:11
2,2,,,M,EVENT,YES,YES,19:13,19:17,,,,0:19:13,0:19:17
2,2,,,B,EVENT,YES,YES,19:18,19:22,,,,0:19:18,0:19:22
2,2,,,M,EVENT,YES,YES,19:22,19:26,,,,0:19:22,0:19:26
2,2,,,B,EVENT,YES,YES,19:27,19:30,,,,0:19:27,0:19:30
2,2,,,M,EVENT,YES,YES,19:33,19:38,,,,0:19:33,0:19:38
2,2,,,B,EVENT,YES,YES,19:39,19:41,,,,0:19:39,0:19:41
2,2,,,B,EVENT,YES,YES,19:44,19:45,,,,0:19:44,0:19:45
2,2,,,E,BEHAVIOR,YES,YES,19:50,20:03,,,,0:19:50,0:20:03
2,2,,,B,EVENT,YES,NO,20:03,20:05,,,,0:20:03,0:20:05
2,2,,,E,BEHAVIOR,YES,YES,20:06,20:36,,,,0:20:06,0:20:36
2,2,,,U,MUSIC,YES,YES,20:24,20:41,,,,0:20:24,0:20:41
2,2,,,E,BEHAVIOR,YES,NO,20:41,21:08,,,,0:20:41,0:21:08
2,2,,,B,EVENT,YES,NO,21:10,21:18,,,,0:21:10,0:21:18
2,2,,,U,MUSIC,YES,YES,21:13,21:52,,,,0:21:13,0:21:52
2,2,,,B,EVENT,YES,YES,21:22,21:25,,,,0:21:22,0:21:25
2,2,,,NB,BEHAVIOR,YES,YES,21:26,21:34,,,,0:21:26,0:21:34
2,2,,,B,EVENT,YES,YES,21:34,21:37,,,,0:21:34,0:21:37
2,2,,,B,EVENT,YES,YES,21:38,21:40,,,,0:21:38,0:21:40
2,2,,,L,BEHAVIOR,YES,YES,21:41,21:52,,,,0:21:41,0:21:52
2,2,,,NB,BEHAVIOR,YES,NO,21:53,21:57,,,,0:21:53,0:21:57
2,2,,,M,EVENT,YES,NO,21:58,22:01,,,,0:21:58,0:22:01
2,2,,,B,EVENT,YES,NO,22:02,22:03,,,,0:22:02,0:22:03
2,2,,,U,MUSIC,YES,YES,22:04,22:30,,,,0:22:04,0:22:30
2,2,,,NB,BEHAVIOR,YES,YES,22:05,22:10,,,,0:22:05,0:22:10
2,2,,,H,EVENT,YES,YES,22:14,22:14,,,,0:22:14,0:22:14
2,2,,,H,EVENT,YES,YES,22:17,22:18,,,,0:22:17,0:22:18
2,2,,,H,EVENT,YES,YES,22:21,22:22,,,,0:22:21,0:22:22
2,2,,,H,EVENT,YES,YES,22:22,22:25,,,,0:22:22,0:22:25
2,2,,,NB,BEHAVIOR,YES,NO,22:55,22:58,,,,0:22:55,0:22:58
2,2,,,L,BEHAVIOR,YES,NO,23:00,23:45,,,,0:23:00,0:23:45
2,2,,,L,BEHAVIOR,YES,NO,23:52,23:58,,,,0:23:52,0:23:58
2,2,,,M,EVENT,YES,NO,23:59,24:04:00,,,,0:23:59,0:24:04
2,2,,,FP,BEHAVIOR,YES,NO,24:06:00,24:07:00,,,,0:24:06,0:24:07
2,2,,,L,BEHAVIOR,YES,NO,24:08:00,24:39:00,,,,0:24:08,0:24:39
2,2,,,P,BEHAVIOR,YES,NO,24:40:00,24:49:00,,,,0:24:40,0:24:49
2,2,,,V,EVENT,YES,NO,24:52:00,24:54:00,,,,0:24:52,0:24:54
2,2,,,L,BEHAVIOR,YES,NO,24:55:00,25:41:00,,,,0:24:55,0:25:41
2,2,,,M,EVENT,YES,NO,25:46:00,25:53:00,,,,0:25:46,0:25:53
2,2,,,L,BEHAVIOR,YES,NO,25:54:00,27:30:00,,,,0:25:54,0:27:30
2,2,,,H,EVENT,YES,NO,27:31:00,27:32:00,,,,0:27:31,0:27:32
2,2,,,P,BEHAVIOR,YES,NO,27:34:00,27:35:00,,,,0:27:34,0:27:35
2,2,,,L,BEHAVIOR,YES,NO,27:37:00,28:15:00,,,,0:27:37,0:28:15
2,2,,,M,EVENT,YES,NO,28:16:00,28:29:00,,,,0:28:16,0:28:29
2,2,,,NB,BEHAVIOR,YES,NO,28:30:00,28:32:00,,,,0:28:30,0:28:32
2,2,,,M,EVENT,YES,NO,28:33:00,28:38:00,,,,0:28:33,0:28:38
