,Day,Session,Date/Time Start,Duration of Video,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End,Unnamed: 12,Start,End
0,1,2,,,B,Event,YES,NO,0:36,0:37,,,,00:00:36,00:00:37
1,1,2,,,B,Event,YES,NO,0:38,0:40,,,,00:00:38,00:00:40
2,1,2,,,M,Event,YES,NO,0:41,0:43,,,,00:00:41,00:00:43
3,1,2,,,M,Event,YES,NO,0:44,0:47,,,,00:00:44,00:00:47
4,1,2,,,B,Event,YES,NO,0:47,0:49,,,,00:00:47,00:00:49
5,1,2,,,M,Event,YES,NO,0:54,1:00,,,,00:00:54,00:01:00
6,1,2,,,B,Event,YES,NO,1:00,1:01,,,,00:01:00,00:01:01
7,1,2,,,L,Behavior,YES,NO,1:09,1:32,,,,00:01:09,00:01:32
8,1,2,,,U,Music,YES,YES,11:08,12:00,,,,00:11:08,00:12:00
9,1,2,,,M,Event,YES,YES,11:37,11:40,,,,00:11:37,00:11:40
10,1,2,,,B,Event,YES,YES,12:02,12:03,,,,00:12:02,00:12:03
11,1,2,,,U,Music,YES,YES,12:03,12:45,,,,00:12:03,00:12:45
12,1,2,,,B,Event,YES,YES,12:12,12:16,,,,00:12:12,00:12:16
13,1,2,,,B,Event,YES,YES,12:18,12:22,,,,00:12:18,00:12:22
14,1,2,,,B,Event,YES,YES,12:30,12:32,,,,00:12:30,00:12:32
15,1,2,,,H,Event,YES,YES,12:31,12:33,,,,00:12:31,00:12:33
16,1,2,,,B,Event,YES,NO,12:45,12:46,,,,00:12:45,00:12:46
17,1,2,,,U,Music,YES,YES,12:48,12:59,,,,00:12:48,00:12:59
18,1,2,,,V,Event,YES,YES,12:50,12:51,,,,00:12:50,00:12:51
19,1,2,,,H,Event,YES,YES,12:57,12:58,,,,00:12:57,00:12:58
20,1,2,,,H,Event,YES,YES,12:59,13:00,,,,00:12:59,00:13:00
21,1,2,,,U,Music,YES,YES,13:01,13:02,,,,00:13:01,00:13:02
22,1,2,,,B,Event,YES,NO,13:09,13:29,,,,00:13:09,00:13:29
23,1,2,,,B,Event,YES,NO,13:36,13:44,,,,00:13:36,00:13:44
24,1,2,,,M,Event,YES,NO,13:46,13:48,,,,00:13:46,00:13:48
25,1,2,,,B,Event,YES,NO,13:49,13:52,,,,00:13:49,00:13:52
26,1,2,,,L,Behavior,YES,NO,13:52,13:53,,,,00:13:52,00:13:53
27,1,2,,,L,Behavior,YES,NO,13:54,13:55,,,,00:13:54,00:13:55
28,1,2,,,B,Event,YES,NO,13:56,14:00,,,,00:13:56,00:14:00
29,1,2,,,B,Event,YES,NO,14:01,14:06,,,,00:14:01,00:14:06
30,1,2,,,B,Event,YES,NO,14:10,14:12,,,,00:14:10,00:14:12
31,1,2,,,B,Event,YES,NO,14:14,14:15,,,,00:14:14,00:14:15
32,1,2,,,B,Event,YES,NO,14:21,14:25,,,,00:14:21,00:14:25
33,1,2,,,B,Event,YES,NO,14:34,14:34,,,,00:14:34,00:14:34
34,1,2,,,M,Event,YES,NO,14:35,14:38,,,,00:14:35,00:14:38
35,1,2,,,B,Event,YES,NO,14:39,14:41,,,,00:14:39,00:14:41
36,1,2,,,B,Event,YES,NO,14:43,14:47,,,,00:14:43,00:14:47
37,1,2,,,B,Event,YES,NO,14:48,14:51,,,,00:14:48,00:14:51
38,1,2,,,B,Event,YES,NO,14:52,15:02,,,,00:14:52,00:15:02
39,1,2,,,M,Event,YES,NO,15:06,15:09,,,,00:15:06,00:15:09
40,1,2,,,U,Music,YES,YES,15:44,16:00,,,,00:15:44,00:16:00
41,1,2,,,P,Behavior,YES,YES,15:49,15:50,,,,00:15:49,00:15:50
42,1,2,,,L,Behavior,YES,YES,15:51,16:30,,,,00:15:51,00:16:30
43,1,2,,,S,Behavior,YES,NO,16:36,16:43,,,,00:16:36,00:16:43
44,1,2,,,M,Event,YES,NO,17:04,17:05,,,,00:17:04,00:17:05
45,1,2,,,M,Event,YES,NO,17:06,17:09,,,,00:17:06,00:17:09
46,1,2,,,B,Event,YES,NO,17:08,17:09,,,,00:17:08,00:17:09
47,1,2,,,V,Event,YES,NO,17:10,17:10,,,,00:17:10,00:17:10
48,1,2,,,U,Music,YES,YES,17:11,19:23,,,,00:17:11,00:19:23
49,1,2,,,B,Event,YES,YES,17:43,17:47,,,,00:17:43,00:17:47
50,1,2,,,H,Event,YES,YES,17:53,17:56,,,,00:17:53,00:17:56
51,1,2,,,H,Event,YES,YES,17:57,17:59,,,,00:17:57,00:17:59
52,1,2,,,H,Event,YES,YES,18:00,18:02,,,,00:18:00,00:18:02
53,1,2,,,H,Event,YES,YES,18:03,18:06,,,,00:18:03,00:18:06
54,1,2,,,H,Event,YES,YES,18:09,18:10,,,,00:18:09,00:18:10
55,1,2,,,H,Event,YES,YES,18:13,18:14,,,,00:18:13,00:18:14
56,1,2,,,H,Event,YES,YES,18:17,18:19,,,,00:18:17,00:18:19
57,1,2,,,B,Event,YES,YES,18:22,18:24,,,,00:18:22,00:18:24
58,1,2,,,B,Event,YES,YES,18:33,18:34,,,,00:18:33,00:18:34
59,1,2,,,B,Event,YES,YES,18:36,18:38,,,,00:18:36,00:18:38
60,1,2,,,H,Event,YES,YES,18:39,18:39,,,,00:18:39,00:18:39
61,1,2,,,V,Event,YES,YES,18:39,18:40,,,,00:18:39,00:18:40
62,1,2,,,L,Behavior,YES,YES,18:45,18:56,,,,00:18:45,00:18:56
63,1,2,,,H,Event,YES,YES,18:55,18:57,,,,00:18:55,00:18:57
64,1,2,,,H,Event,YES,YES,18:58,19:01,,,,00:18:58,00:19:01
65,1,2,,,H,Event,YES,YES,19:05,19:07,,,,00:19:05,00:19:07
66,1,2,,,H,Event,YES,YES,19:10,19:10,,,,00:19:10,00:19:10
67,1,2,,,L,Behavior,YES,NO,19:24,19:26,,,,00:19:24,00:19:26
68,1,2,,,N,Event,YES,NO,19:26,19:27,,,,00:19:26,00:19:27
69,1,2,,,L,Behavior,YES,NO,19:39,20:01,,,,00:19:39,00:20:01
70,1,2,,,V,Event,YES,NO,20:01,20:01,,,,00:20:01,00:20:01
71,1,2,,,P,Behavior,YES,NO,20:22,20:23,,,,00:20:22,00:20:23
72,1,2,,,S,Behavior,YES,NO,20:28,20:30,,,,00:20:28,00:20:30
73,1,2,,,P,Behavior,YES,NO,20:35,20:40,,,,00:20:35,00:20:40
74,1,2,,,P,Behavior,YES,NO,20:47,20:47,,,,00:20:47,00:20:47
75,1,3,,,U,Music,YES,YES,0:33,1:08,,,,00:00:33,00:01:08
76,1,3,,,B,Event,YES,YES,0:40,0:44,,,,00:00:40,00:00:44
77,1,3,,,L,Behavior,YES,YES,0:46,0:51,,,,00:00:46,00:00:51
78,1,3,,,B,Event,YES,YES,0:51,0:54,,,,00:00:51,00:00:54
79,1,3,,,L,Behavior,YES,YES,0:56,1:21,,,,00:00:56,00:01:21
80,1,3,,,V,Event,YES,NO,1:21,1:21,,,,00:01:21,00:01:21
81,1,3,,,U,Music,YES,YES,1:25,1:43,,,,00:01:25,00:01:43
82,1,3,,,M,Event,YES,NO,2:35,2:38,,,,00:02:35,00:02:38
83,1,3,,,L,Behavior,YES,NO,2:39,2:40,,,,00:02:39,00:02:40
84,1,3,,,S,Behavior,YES,NO,2:41,2:47,,,,00:02:41,00:02:47
85,1,3,,,P,Behavior,YES,NO,5:10,5:13,,,,00:05:10,00:05:13
86,1,3,,,L,Behavior,YES,NO,5:20,5:25,,,,00:05:20,00:05:25
87,1,3,,,S,Behavior,YES,NO,5:24,5:31,,,,00:05:24,00:05:31
88,1,3,,,FP,Behavior,YES,NO,6:19,6:26,,,,00:06:19,00:06:26
89,1,3,,,M,Event,YES,NO,6:28,6:31,,,,00:06:28,00:06:31
90,1,3,,,L,Behavior,YES,NO,6:33,6:58,,,,00:06:33,00:06:58
91,1,3,,,M,Event,YES,NO,6:59,7:02,,,,00:06:59,00:07:02
92,1,3,,,M,Event,YES,NO,7:22,7:23,,,,00:07:22,00:07:23
93,1,3,,,FP,Behavior,YES,NO,7:26,7:26,,,,00:07:26,00:07:26
94,1,3,,,U,Music,YES,YES,7:26,7:41,,,,00:07:26,00:07:41
95,1,3,,,FP,Behavior,YES,YES,7:29,7:29,,,,00:07:29,00:07:29
96,1,3,,,U,Music,YES,YES,7:55,8:14,,,,00:07:55,00:08:14
97,1,3,,,U,Music,YES,YES,8:24,8:41,,,,00:08:24,00:08:41
98,1,3,,,U,Music,YES,YES,9:11,9:20,,,,00:09:11,00:09:20
99,1,3,,,V,Event,YES,YES,9:15,9:16,,,,00:09:15,00:09:16
100,1,3,,,V,Event,YES,YES,9:18,9:18,,,,00:09:18,00:09:18
101,1,3,,,U,Music,YES,YES,9:34,9:49,,,,00:09:34,00:09:49
102,2,2,,,L,BEHAVIOR,YES,NO,0:06:00,0:24:00,,,,00:06:00,00:24:00
103,2,2,,,P,BEHAVIOR,YES,NO,0:26:00,0:27:00,,,,00:26:00,00:27:00
104,2,2,,,L,BEHAVIOR,YES,NO,0:31:00,0:34:00,,,,00:31:00,00:34:00
105,2,2,,,V,EVENT,YES,NO,0:48:00,0:49:00,,,,00:48:00,00:49:00
106,2,2,,,P,BEHAVIOR,YES,NO,1:05:00,1:07:00,,,,00:05:00,00:07:00
107,2,2,,,V,EVENT,YES,NO,2:09:00,2:10:00,,,,00:09:00,00:10:00
108,2,2,,,V,EVENT,YES,NO,3:08:00,3:09:00,,,,00:08:00,00:09:00
109,2,2,,,P,BEHAVIOR,YES,NO,5:16:00,5:30:00,,,,00:16:00,00:30:00
110,2,2,,,P,BEHAVIOR,YES,NO,5:31:00,5:42:00,,,,00:31:00,00:42:00
111,2,2,,,M,EVENT,YES,NO,5:44:00,5:54:00,,,,00:44:00,00:54:00
112,2,2,,,NB,BEHAVIOR,YES,NO,5:54:00,5:58:00,,,,00:54:00,00:58:00
113,2,2,,,NB,BEHAVIOR,YES,NO,6:01:00,6:07:00,,,,00:01:00,00:07:00
114,2,2,,,L,BEHAVIOR,YES,NO,6:08:00,6:10:00,,,,00:08:00,00:10:00
115,2,2,,,NB,BEHAVIOR,YES,NO,6:11:00,6:12:00,,,,00:11:00,00:12:00
116,2,2,,,NB,BEHAVIOR,YES,NO,6:13:00,6:16:00,,,,00:13:00,00:16:00
117,2,2,,,NB,BEHAVIOR,YES,NO,6:18:00,6:23:00,,,,00:18:00,00:23:00
118,2,2,,,L,BEHAVIOR,YES,NO,6:25:00,6:28:00,,,,00:25:00,00:28:00
119,2,2,,,NB,BEHAVIOR,YES,NO,6:28:00,6:34:00,,,,00:28:00,00:34:00
120,2,2,,,NB,BEHAVIOR,YES,NO,6:36:00,6:45:00,,,,00:36:00,00:45:00
121,2,2,,,NB,BEHAVIOR,YES,NO,6:47:00,6:55:00,,,,00:47:00,00:55:00
122,2,2,,,P,BEHAVIOR,YES,NO,6:58:00,7:13:00,,,,00:58:00,00:13:00
123,2,2,,,P,BEHAVIOR,YES,NO,7:13:00,7:21:00,,,,00:13:00,00:21:00
124,2,2,,,NB,BEHAVIOR,YES,NO,7:24:00,7:27:00,,,,00:24:00,00:27:00
125,2,2,,,P,BEHAVIOR,YES,NO,7:28:00,7:41:00,,,,00:28:00,00:41:00
126,2,2,,,NB,BEHAVIOR,YES,NO,7:42:00,7:46:00,,,,00:42:00,00:46:00
127,2,2,,,P,BEHAVIOR,YES,NO,7:47:00,7:55:00,,,,00:47:00,00:55:00
128,2,2,,,NB,BEHAVIOR,YES,NO,7:55:00,8:01:00,,,,00:55:00,00:01:00
129,2,2,,,E,BEHAVIOR,YES,NO,8:02:00,8:22:00,,,,00:02:00,00:22:00
130,2,2,,,NB,BEHAVIOR,YES,NO,8:29:00,8:52:00,,,,00:29:00,00:52:00
131,2,2,,,NB,BEHAVIOR,YES,NO,8:52:00,9:10:00,,,,00:52:00,00:10:00
132,2,2,,,M,EVENT,YES,NO,9:12:00,9:21:00,,,,00:12:00,00:21:00
133,2,2,,,NB,BEHAVIOR,YES,NO,9:24:00,9:25:00,,,,00:24:00,00:25:00
134,2,2,,,L,BEHAVIOR,YES,NO,9:27:00,9:35:00,,,,00:27:00,00:35:00
135,2,2,,,L,BEHAVIOR,YES,NO,9:40:00,9:43:00,,,,00:40:00,00:43:00
136,2,2,,,B,EVENT,YES,NO,9:44:00,9:45:00,,,,00:44:00,00:45:00
137,2,2,,,B,EVENT,YES,YES,9:46:00,9:49:00,,,,00:46:00,00:49:00
138,2,2,,,U,MUSIC,YES,YES,9:46:00,10:31:00,,,,00:46:00,00:10:31
139,2,2,,,B,EVENT,YES,YES,9:57:00,10:00:00,,,,00:57:00,00:10:00
140,2,2,,,H,EVENT,YES,YES,10:01:00,10:03:00,,,,00:10:01,00:10:03
141,2,2,,,H,EVENT,YES,YES,10:06:00,10:07:00,,,,00:10:06,00:10:07
142,2,2,,,H,EVENT,YES,YES,10:08:00,10:10:00,,,,00:10:08,00:10:10
143,2,2,,,H,EVENT,YES,YES,10:12:00,10:13:00,,,,00:10:12,00:10:13
144,2,2,,,M,EVENT,YES,YES,10:19:00,10:20:00,,,,00:10:19,00:10:20
145,2,2,,,L,BEHAVIOR,YES,YES,10:21:00,10:34:00,,,,00:10:21,00:10:34
146,2,2,,,L,BEHAVIOR,YES,NO,10:35:00,11:03:00,,,,00:10:35,00:11:03
147,2,2,,,V,EVENT,YES,NO,11:02:00,11:03:00,,,,00:11:02,00:11:03
148,2,2,,,L,BEHAVIOR,YES,NO,11:05:00,11:06:00,,,,00:11:05,00:11:06
149,2,2,,,M,EVENT,YES,NO,11:07:00,11:11:00,,,,00:11:07,00:11:11
150,2,2,,,L,BEHAVIOR,YES,NO,11:12:00,12:31:00,,,,00:11:12,00:12:31
151,2,2,,,V,EVENT,YES,NO,12:31:00,12:32:00,,,,00:12:31,00:12:32
152,2,2,,,FP,BEHAVIOR,YES,NO,12:36:00,12:37:00,,,,00:12:36,00:12:37
153,2,2,,,M,EVENT,YES,NO,13:55:00,14:10:00,,,,00:13:55,00:14:10
154,2,2,,,M,EVENT,YES,NO,14:12:00,14:16:00,,,,00:14:12,00:14:16
155,2,2,,,L,BEHAVIOR,YES,NO,14:16:00,14:27:00,,,,00:14:16,00:14:27
156,2,2,,,M,EVENT,YES,NO,14:28:00,14:32:00,,,,00:14:28,00:14:32
157,2,2,,,E,BEHAVIOR,YES,NO,14:32:00,14:52:00,,,,00:14:32,00:14:52
158,2,2,,,M,EVENT,YES,NO,14:52:00,14:54:00,,,,00:14:52,00:14:54
159,2,2,,,L,BEHAVIOR,YES,NO,14:54:00,15:53:00,,,,00:14:54,00:15:53
160,2,2,,,E,BEHAVIOR,YES,NO,15:54:00,16:22:00,,,,00:15:54,00:16:22
161,2,2,,,M,EVENT,YES,NO,16:26:00,16:30:00,,,,00:16:26,00:16:30
162,2,2,,,L,BEHAVIOR,YES,NO,16:30:00,16:31:00,,,,00:16:30,00:16:31
163,2,2,,,L,BEHAVIOR,YES,NO,16:49:00,17:15:00,,,,00:16:49,00:17:15
164,2,2,,,H,EVENT,YES,NO,17:15:00,17:16:00,,,,00:17:15,00:17:16
165,2,2,,,U,MUSIC,YES,YES,17:17:00,19:52:00,,,,00:17:17,00:19:52
166,2,2,,,L,BEHAVIOR,YES,YES,17:18:00,17:25:00,,,,00:17:18,00:17:25
167,2,2,,,B,EVENT,YES,YES,17:25:00,17:27:00,,,,00:17:25,00:17:27
168,2,2,,,L,BEHAVIOR,YES,YES,17:28:00,17:45:00,,,,00:17:28,00:17:45
169,2,2,,,B,EVENT,YES,YES,17:45:00,17:48:00,,,,00:17:45,00:17:48
170,2,2,,,B,EVENT,YES,YES,17:50:00,17:51:00,,,,00:17:50,00:17:51
171,2,2,,,V,EVENT,YES,YES,17:54:00,17:55:00,,,,00:17:54,00:17:55
172,2,2,,,B,EVENT,YES,YES,17:56:00,17:58:00,,,,00:17:56,00:17:58
173,2,2,,,H,EVENT,YES,YES,18:01:00,18:02:00,,,,00:18:01,00:18:02
174,2,2,,,L,BEHAVIOR,YES,YES,18:07:00,18:10:00,,,,00:18:07,00:18:10
175,2,2,,,B,EVENT,YES,YES,18:10:00,18:13:00,,,,00:18:10,00:18:13
176,2,2,,,H,EVENT,YES,YES,18:14:00,18:18:00,,,,00:18:14,00:18:18
177,2,2,,,L,BEHAVIOR,YES,YES,18:18:00,18:20:00,,,,00:18:18,00:18:20
178,2,2,,,H,EVENT,YES,YES,18:21:00,18:24:00,,,,00:18:21,00:18:24
179,2,2,,,B,EVENT,YES,YES,18:28:00,18:30:00,,,,00:18:28,00:18:30
180,2,2,,,B,EVENT,YES,YES,18:34:00,18:36:00,,,,00:18:34,00:18:36
181,2,2,,,H,EVENT,YES,YES,18:39:00,18:40:00,,,,00:18:39,00:18:40
182,2,2,,,H,EVENT,YES,YES,18:44:00,18:48:00,,,,00:18:44,00:18:48
183,2,2,,,B,EVENT,YES,YES,18:49:00,18:51:00,,,,00:18:49,00:18:51
184,2,2,,,H,EVENT,YES,YES,18:53:00,18:53:00,,,,00:18:53,00:18:53
185,2,2,,,B,EVENT,YES,YES,18:56:00,18:58:00,,,,00:18:56,00:18:58
186,2,2,,,H,EVENT,YES,YES,19:00:00,19:01:00,,,,00:19:00,00:19:01
187,2,2,,,B,EVENT,YES,YES,19:05:00,19:11:00,,,,00:19:05,00:19:11
188,2,2,,,M,EVENT,YES,YES,19:13:00,19:17:00,,,,00:19:13,00:19:17
189,2,2,,,B,EVENT,YES,YES,19:18:00,19:22:00,,,,00:19:18,00:19:22
190,2,2,,,M,EVENT,YES,YES,19:22:00,19:26:00,,,,00:19:22,00:19:26
191,2,2,,,B,EVENT,YES,YES,19:27:00,19:30:00,,,,00:19:27,00:19:30
192,2,2,,,M,EVENT,YES,YES,19:33:00,19:38:00,,,,00:19:33,00:19:38
193,2,2,,,B,EVENT,YES,YES,19:39:00,19:41:00,,,,00:19:39,00:19:41
194,2,2,,,B,EVENT,YES,YES,19:44:00,19:45:00,,,,00:19:44,00:19:45
195,2,2,,,E,BEHAVIOR,YES,YES,19:50:00,20:03:00,,,,00:19:50,00:20:03
196,2,2,,,B,EVENT,YES,NO,20:03:00,20:05:00,,,,00:20:03,00:20:05
197,2,2,,,E,BEHAVIOR,YES,YES,20:06:00,20:36:00,,,,00:20:06,00:20:36
198,2,2,,,U,MUSIC,YES,YES,20:24:00,20:41:00,,,,00:20:24,00:20:41
199,2,2,,,E,BEHAVIOR,YES,NO,20:41:00,21:08:00,,,,00:20:41,00:21:08
200,2,2,,,B,EVENT,YES,NO,21:10:00,21:18:00,,,,00:21:10,00:21:18
201,2,2,,,U,MUSIC,YES,YES,21:13:00,21:52:00,,,,00:21:13,00:21:52
202,2,2,,,B,EVENT,YES,YES,21:22:00,21:25:00,,,,00:21:22,00:21:25
203,2,2,,,NB,BEHAVIOR,YES,YES,21:26:00,21:34:00,,,,00:21:26,00:21:34
204,2,2,,,B,EVENT,YES,YES,21:34:00,21:37:00,,,,00:21:34,00:21:37
205,2,2,,,B,EVENT,YES,YES,21:38:00,21:40:00,,,,00:21:38,00:21:40
206,2,2,,,L,BEHAVIOR,YES,YES,21:41:00,21:52:00,,,,00:21:41,00:21:52
207,2,2,,,NB,BEHAVIOR,YES,NO,21:53:00,21:57:00,,,,00:21:53,00:21:57
208,2,2,,,M,EVENT,YES,NO,21:58:00,22:01:00,,,,00:21:58,00:22:01
209,2,2,,,B,EVENT,YES,NO,22:02:00,22:03:00,,,,00:22:02,00:22:03
210,2,2,,,U,MUSIC,YES,YES,22:04:00,22:30:00,,,,00:22:04,00:22:30
211,2,2,,,NB,BEHAVIOR,YES,YES,22:05:00,22:10:00,,,,00:22:05,00:22:10
212,2,2,,,H,EVENT,YES,YES,22:14:00,22:14:00,,,,00:22:14,00:22:14
213,2,2,,,H,EVENT,YES,YES,22:17:00,22:18:00,,,,00:22:17,00:22:18
214,2,2,,,H,EVENT,YES,YES,22:21:00,22:22:00,,,,00:22:21,00:22:22
215,2,2,,,H,EVENT,YES,YES,22:22:00,22:25:00,,,,00:22:22,00:22:25
216,2,2,,,NB,BEHAVIOR,YES,NO,22:55:00,22:58:00,,,,00:22:55,00:22:58
217,2,2,,,L,BEHAVIOR,YES,NO,23:00:00,23:45:00,,,,00:23:00,00:23:45
218,2,2,,,L,BEHAVIOR,YES,NO,23:52:00,23:58:00,,,,00:23:52,00:23:58
219,2,2,,,M,EVENT,YES,NO,23:59:00,24:04:00,,,,00:23:59,00:24:04
220,2,2,,,FP,BEHAVIOR,YES,NO,24:06:00,24:07:00,,,,00:24:06,00:24:07
