Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,0:36,0:37,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,0:38,0:40,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,0:41,0:43,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,0:44,0:47,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,0:47,0:49,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,0:54,1:00,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,1:00,1:01,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,NO,1:09,1:32,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,11:08,12:00,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,YES,11:37,11:40,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,12:02,12:03,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,12:03,12:45,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,12:12,12:16,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,12:18,12:22,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,12:30,12:32,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,12:31,12:33,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,12:45,12:46,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,12:48,12:59,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,V,Event,,YES,YES,12:50,12:51,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,12:57,12:58,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,12:59,13:00,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,13:01,13:02,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,13:09,13:29,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,13:36,13:44,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,13:46,13:48,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,13:49,13:52,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,NO,13:52,13:53,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,NO,13:54,13:55,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,13:56,14:00,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:01,14:06,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:10,14:12,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:14,14:15,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:21,14:25,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:34,14:34,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,14:35,14:38,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:39,14:41,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:43,14:47,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:48,14:51,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:52,15:02,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,15:06,15:09,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,15:44,16:00,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,P,Behavior,,YES,YES,15:49,15:50,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,YES,15:51,16:30,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,S,Behavior,,YES,NO,16:36,16:43,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,17:04,17:05,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,17:06,17:09,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,17:08,17:09,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,V,Event,,YES,NO,17:10,17:10,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,17:11,19:23,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,17:43,17:47,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,17:53,17:56,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,17:57,17:59,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,18:00,18:02,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,18:03,18:06,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,18:09,18:10,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,18:13,18:14,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,18:17,18:19,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,18:22,18:24,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,18:33,18:34,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,18:36,18:38,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,18:39,18:39,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,V,Event,,YES,YES,18:39,18:40,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,YES,18:45,18:56,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,18:55,18:57,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,18:58,19:01,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,19:05,19:07,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,19:10,19:10,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,NO,19:24,19:26,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,N,Event,,YES,NO,19:26,19:27,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,NO,19:39,20:01,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,V,Event,,YES,NO,20:01,20:01,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,P,Behavior,,YES,NO,20:22,20:23,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,S,Behavior,,YES,NO,20:28,20:30,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,P,Behavior,,YES,NO,20:35,20:40,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,P,Behavior,,YES,NO,20:47,20:47,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,BA_E,,,,,0:00,0:52,,
,,,,BA_V,,,,,0:59,1:07,,
,,,,BA_E,,,,,1:39,1:52,,
,,,,BA_V,,,,,3:27,3:50,,
,,,,BA_V,,,,,8:52,8:54,,
,,,,BA_E,,,,,11:41,12:36,,
,,,,BA_V,,,,,12:37,12:59,,
,,,,BA_E,,,,,12:59,13:27,,
,,,,BA_V,,,,,13:27,13:31,,
,,,,BA_E,,,,,13:31,13:36,,
,,,,BA_V,,,,,13:36,13:44,,
,,,,BA_E,,,,,13:44,13:50,,
,,,,BA_V,,,,,13:50,14:28,,
,,,,BA_E,,,,,14:28,14:31,,
,,,,BA_V,,,,,14:31,15:10,,
,,,,BA_E,,,,,15:10,15:17,,
,,,,BA_V,,,,,15:17,15:47,,
,,,,BA_V,,,,,15:03,15:09,,
,,,,BA_V,,,,,16:43,16:59,,
,,,,BA_E,,,,,17:07,17:40,,
,,,,BA_V,,,,,17:40,17:45,,
,,,,BA_E,,,,,17:45,17:53,,
,,,,BA_V,,,,,17:53,18:02,,
,,,,BA_E,,,,,18:02,18:10,,
,,,,BA_V,,,,,18:10,18:35,,
,,,,BA_E,,,,,18:35,18:55,,
,,,,BA_V,,,,,18:55,19:13,,
,,,,BA_E,,,,,18:26,18:36,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,VA_B,,,,,0:00,1:33,children laughing ,
,,,,VA_B,,,,,3:12,3:14,it's a beautiful bird,
,,,,VA_B,,,,,3:34,3:36,"it's a parrot, hi parrot",
,,,,VA_B,,,,,4:27,4:39,what kind of bird is that,
,,,,VA_B,,,,,8:10,8:12,brrr brrr,
,,,,VA_B,,,,,8:48,9:20,a bird! it is a hyacinth,
,,,,VA_B,,,,,12:32,15:08,Say hi to mister macaw,
,,,,VA_B,,,,,15:11,15:47,parrot,
,,,,VA_B,,,,,16:10,16:20,he is waiving to you?,
,,,,VA_B,,,,,16:44,16:49,oh he is pruning,
,,,,VA_B,,,,,17:08,17:15,oh!,
,,,,VA_B,,,,,17:27,19:19,lots of laughters,